working_id,name_en_normalized,name_ko_draft,body_part_ko,recording_type,family,relevance_tier,relevance_reason
gvs_be735560904852ae,3 4 Sit Up,3 4 싯업,코어,reps,core_crunch,BODYWEIGHT_DEFAULT_SEARCH_CANDIDATE,Recognized gym/calisthenics strength family with no home-context/noise markers.
gvs_c4786ad77ebcde4f,3 Sec Sumo Squat,,하체,reps,squat,BODYWEIGHT_DEFAULT_SEARCH_CANDIDATE,Recognized gym/calisthenics strength family with no home-context/noise markers.
gvs_3277f4f593ac5d31,45 Degree Bycicle Twisting Crunch,,코어,reps,core_crunch,BODYWEIGHT_DEFAULT_SEARCH_CANDIDATE,Recognized gym/calisthenics strength family with no home-context/noise markers.
gvs_7d9c3366c298aea6,45 Degree Hip Extension Glute Focused,,하체,reps,other,BODYWEIGHT_NOISE_REVIEW,Not in core gym/calisthenics strength families; review before default search exposure.
gvs_e68f6092a6b202d8,45 Degree Hyperextension (Arms In Front Of Chest),,등,reps,back_extension,BODYWEIGHT_DEFAULT_SEARCH_CANDIDATE,Recognized gym/calisthenics strength family with no home-context/noise markers.
gvs_bb6a387b718b9c8b,45 Degree Lean Back Alternate Knee Raise,,코어,reps,core_raise,BODYWEIGHT_DEFAULT_SEARCH_CANDIDATE,Recognized gym/calisthenics strength family with no home-context/noise markers.
gvs_fbf2c11654227900,45 Degree Reverse Hyperextension,45도 리버스 하이퍼익스텐션,하체,reps,back_extension,BODYWEIGHT_DEFAULT_SEARCH_CANDIDATE,Recognized gym/calisthenics strength family with no home-context/noise markers.
gvs_51550af287b4549a,45 Degree Side Bend,,코어,reps,other,BODYWEIGHT_NOISE_REVIEW,Not in core gym/calisthenics strength families; review before default search exposure.
gvs_d56749f322687f33,45 Degree Single Leg Reverse Hyperextension,45도 싱글 레그 리버스 하이퍼익스텐션,하체,reps,back_extension,BODYWEIGHT_DEFAULT_SEARCH_CANDIDATE,Recognized gym/calisthenics strength family with no home-context/noise markers.
gvs_cc685b714d83ac1d,45 Degree Twisting Hyperextension,,하체,reps,back_extension,BODYWEIGHT_DEFAULT_SEARCH_CANDIDATE,Recognized gym/calisthenics strength family with no home-context/noise markers.
