working_id,source_candidate_ids,source_name_variants,name_en_normalized,name_ko_draft,name_ko_status,vendor_body_tags,catalog_status,catalog_reason,equipment,equipment_confidence,body_part_ko,body_confidence,primary_muscles_ko,secondary_muscles_ko,muscle_confidence,recording_type,recording_confidence,source_recording_candidates,semantic_flags,source_media_count,male_source_count,female_source_count,qa_status
gvs_e891a3014c26ce65,gvc_403b742e91d2,Dumbbell One Arm Snatch,Dumbbell Single Arm Snatch,,MANUAL,Weightlifting,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,,unknown,,,unsupported,weight_reps,equipment,weight_reps,,2,1,1,MANUAL_QA_REQUIRED
gvs_e4789da174679629,gvc_77c5804baa50,Dumbbell Single Arm Starfish Crunch (beginner) (ma,Dumbbell Single Arm Starfish Crunch (Beginner),,MANUAL,,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,코어,name,복직근,,name_high,weight_reps,equipment,weight_reps,,1,1,0,MANUAL_QA_REQUIRED
gvs_7c244e5534d4db41,gvc_1139ade5a8d9,Dumbbell One Arm Swing,Dumbbell Single Arm Swing,,MANUAL,Weightlifting,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,,unknown,,,unsupported,weight_reps,equipment,weight_reps,,1,1,0,MANUAL_QA_REQUIRED
gvs_65da64d19e306e4d,gvc_718f810b460b,Dumbbell One Arm Triceps Extension,Dumbbell Single Arm Triceps Extension,덤벨 원암 트라이셉 익스텐션,AUTO_PHRASE_DRAFT,Upper-Arms,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,팔,source,삼두근,,name_high,weight_reps,equipment,weight_reps,,1,0,1,AUTO_DRAFT_COMPLETE
gvs_053c2c0623e35c70,gvc_ebc8998a6203,Dumbbell One Arm Triceps Extension (on Bench),Dumbbell Single Arm Triceps Extension (On Bench),,MANUAL,Upper-Arms,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,팔,source,삼두근,,name_high,weight_reps,equipment,weight_reps,,2,1,1,MANUAL_QA_REQUIRED
gvs_418c8e95de826d89,gvc_7f6b0ceb8952,Dumbbell Single Arm Underhand Front Raise,Dumbbell Single Arm Underhand Front Raise,,MANUAL,Shoulders,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,어깨,source,전면 삼각근,,name_high,weight_reps,equipment,weight_reps,,1,1,0,MANUAL_QA_REQUIRED
gvs_73257b3ccb2a693e,gvc_0e3930006f68,Dumbbell One Arm Upright Row,Dumbbell Single Arm Upright Row,덤벨 원암 업라이트 로우,AUTO_PHRASE_DRAFT,Shoulders,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,어깨,source,등 상부 / 광배근,이두근,name_high,weight_reps,equipment,weight_reps,BODY_MUSCLE_FAMILY_CONFLICT,1,1,0,MANUAL_QA_REQUIRED
gvs_2f9b643691bc60a0,gvc_f3467fa70c5d,Dumbbell One Arm Wide Grip Bench Press,Dumbbell Single Arm Wide Grip Bench Press,덤벨 원암 와이드 그립 벤치프레스,AUTO_PHRASE_DRAFT,Chest,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,가슴,source,대흉근,삼두근 / 전면 삼각근,name_high,weight_reps,equipment,weight_reps,,1,1,0,AUTO_DRAFT_COMPLETE
gvs_d88aa8dd4823d7dd,gvc_1e1fc544c8d7,Dumbbell One Arm Wrist Curl,Dumbbell Single Arm Wrist Curl,덤벨 원암 리스트 컬,AUTO_PHRASE_DRAFT,Forearms,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,팔,source,,,unsupported,weight_reps,equipment,weight_reps,,2,1,1,AUTO_DRAFT_COMPLETE
gvs_ee4059bcbfb0038e,gvc_e30187207c3a,Dumbbell One Arm Zottman Preacher Curl,Dumbbell Single Arm Zottman Preacher Curl,,MANUAL,Upper-Arms,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,팔,source,이두근,,name_high,weight_reps,equipment,weight_reps,,2,1,1,MANUAL_QA_REQUIRED
gvs_e9f69e15d53b8241,gvc_1b0f0ff552e1,Dumbbell Single Arms Pullover,Dumbbell Single Arms Pullover,,MANUAL,Back,MVP_CANDIDATE,Resistance/strength candidate,Dumbbell,source,등,source,,,unsupported,weight_reps,equipment,weight_reps,,1,1,0,MANUAL_QA_REQUIRED
