working_id,name_en_normalized,before_body_part_ko,before_primary_muscles_ko,before_secondary_muscles_ko,after_body_part_ko,after_primary_muscles_ko,after_secondary_muscles_ko,resolution_method,resolution_note
gvs_148535d09bcab6a6,Alternate Leg Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_ab7d9a168797cc00,Alternate Single Leg Raise Plank,하체,복직근,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_252a1b0df2bb3ab9,Arm Tuck Side Bend,등,복사근,코어,등,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_19b488aa7a8e6504,Barbell Close Grip Bench Press,팔,대흉근,삼두근 / 전면 삼각근,팔,삼두근,대흉근 / 전면 삼각근,FIX_CLOSE_GRIP_PRESS,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_3d81ea3e9280ea58,Barbell Incline Close Grip Bench Press,팔,대흉근,삼두근 / 전면 삼각근,팔,삼두근,대흉근 / 전면 삼각근,FIX_CLOSE_GRIP_PRESS,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_cef9a38f193d09a7,Barbell Incline Rear Delt Row,등,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_4cf9ede2553dd850,Barbell Jm Bench Press,팔,대흉근,삼두근 / 전면 삼각근,팔,삼두근,대흉근 / 전면 삼각근,FIX_CLOSE_GRIP_PRESS,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_7b393e74d26e508e,Barbell Reverse Close Grip Bench Press,팔,대흉근,삼두근 / 전면 삼각근,팔,삼두근,대흉근 / 전면 삼각근,FIX_CLOSE_GRIP_PRESS,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_8158235eccac6964,Barbell Seated Military Press (Inside Squat Cage),어깨,대퇴사두근,둔근,어깨,삼각근,삼두근,FIX_PRESS_CAGE_FALSE_SQUAT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_0f87c16cfdedac46,Barbell Shoulder Grip Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_83122f5666125068,Barbell Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_ccff308cd588deda,Barbell Upright Row Shoulders Without Weight,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_b6afdcdd7d4251dd,Barbell Wide Grip Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_0ab7910c7349124e,Bear Plank Kickback,하체,코어,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_e56ef10a76d05484,Biceps Table Row,팔,등 상부 / 광배근,이두근,팔,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_afdf86934a25fa73,Body Saw Plank,어깨,코어,,어깨,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_5c647e8af68d1d2c,Bodyweight Glute Bridge Chest Press,가슴,둔근,햄스트링,가슴,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_b7154573c2944d83,Bodyweight Good Morning Row,하체,등 상부 / 광배근,이두근,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_91e5f21f56e18ed7,Bodyweight Kneeling Push Up Row,가슴,등 상부 / 광배근,이두근,가슴,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_1e7fcf3182fd87b9,Bodyweight Rear Delt And Back Raise,등,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_546cfd9dc1d1c705,Bodyweight Rear Delt Circle,등,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_d8d0a1330ef3b0b3,Bodyweight Wood Chop Squat,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_08cbbf58c4c088d2,Bridge Straight Leg Raise,하체,복직근,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_9cb98551b6746625,Bridge Walk Leg Raise,하체,복직근,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_d6ae00a12725ba35,Cable Incline Rear Delt Fly With Back Support,가슴,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_b452c967fe4b5f3f,Cable Lying Upright Row (Sz Bar),어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
