male_candidate_id,male_name,female_candidate_id,female_name,qa_result,resolution_reason
gvc_b22208096dff,Cable Seated Row With V Bar,gvc_3ab62bb6aa97,Cable Low Seated Row With V Bar,MERGE_IDENTITY,"seated V-bar row normally uses the low pulley; Low is setup wording, not a separate history identity"
canon_gvr_f489cbb11d75,cable straight arm pulldown,gvc_fffdc22b28b6,Cable Straight Arm Pulldown Ii,MERGE_IDENTITY,Roman numeral II is treated as vendor version residue; no other semantic modifier differs
gvc_67ceeec29985,Seated Elbow Chest Fly On A Chair,gvc_f1c3e1f0417e,Sitting Chest Fly On A Chair,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_8d618bec1a01,Standing Single Front Leg Raise Chair Supported (f,gvc_5f28cb7bebe8,Standing Single Front Leg Circle Chair Supported (,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_1cb6763b25c0,Dumbbell One Arm Hammer Preacher Curl,gvc_fcdb868a976b,Dumbbell Single Arm Preacher Curl,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_05bf614d7ee3,Seated Overhead Triceps Extension On A Chair (,gvc_00fefc1f865a,Sitting Triceps Extension On A Chair,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_4a5f72b27cde,Dumbbell Standing Prone Lateral Raise,gvc_aecf5f9cf111,Dumbbell Standing Lateral Raise,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_22c423c89abf,Seated Alternate Knee Raises On A Chair,gvc_1bf4f55734ca,Sitting Alternate Knee Tuck On A Chair,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_cc101949ca87,Seated Chest Press On A Chair,gvc_4805bb7235b6,Sitting Chest Push On A Chair,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_5eb6153dc2d9,Side Step Pick And Carry,gvc_3f09228ba55d,Side Step Squat Pick And Carry,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_9975bc8c9f89,Sitting Torso Twist On A Chair,gvc_e699fc688b97,Sitting Core Twist On A Chair,MERGE_IDENTITY,Torso/Core is target wording only; seated twist movement/context is otherwise identical
gvc_39672087ab1b,Barbell Jm Bench Press,gvc_59e844d5d30e,Barbell Bench Press,KEEP_SEPARATE,Keep separate: source categories and movement wording indicate different exercise semantics.
gvc_97efd211b02d,Barbell Pause Decline Bench Press,gvc_3a11b7d13b04,Barbell Decline Bench Press,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_a82c61e88d0e,Sitting Dynamic Side Stretch,gvc_f6af2c5b7045,Sitting Lotus Dynamic Side Stretch,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_69c6d0cccf29,Kneeling Back Leg Lift,gvc_b0455a85d0e7,Kneeling Back Leg Lift Curl,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_7558e3e520e5,Lying Criss Cross Legs,gvc_4911ccb5b8ca,Lying High Criss Cross Legs,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_0fc4d50192d4,Barbell Pin Good Morning,gvc_97a4cbf1630c,Barbell Good Morning,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_579a6d18cdb7,Resistance Band Standing Single Arm Lateral Raise,gvc_ff203fa6c90f,Resistance Band Single Arm Lateral Raise,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_e4c61e6bda63,Cable Seated Leg Extension,gvc_a181e1cace6d,Cable Seated Single Leg Extension,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_bed7bee64279,Seated Calf Raise On A Chair,gvc_3ef37bad19ea,Seated Calf Rock On A Chair,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_4ac2ce463882,Barbell Pin Front Squat,gvc_6af3bc6b2a97,Barbell Front Squat,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_fde85e8c3fbf,Seated Underhand Arm Circle On A Chair,gvc_9c9e3ccc5620,Sitting Arm Circle On A Chair,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_7d509b88b9e8,Seated Lean Back On A Chair,gvc_081542f2ded4,Sitting Pull Back On A Chair,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_656ec805fc64,Sitting Knee Tuck On A Chair,gvc_c11c5dcce57a,Sitting Chin Tuck On A Chair,KEEP_SEPARATE,Keep separate: source categories and movement wording indicate different exercise semantics.
gvc_a9622e7d0001,Seated Leg Raises On A Chair,gvc_b1fe73fbdd4d,Sitting Lateral Raise On A Chair,KEEP_SEPARATE,Keep separate: source categories and movement wording indicate different exercise semantics.
gvc_5dfbb0f4e59f,Seated Upright Twists On A Chair,gvc_d2b6da56c9ae,Sitting Upright Row On A Chair,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_46e2b4ed8ef8,Single Leg Hip Thrusts,gvc_adc0c1db795f,Single Leg Thrusts,MERGE_IDENTITY,Single Leg Thrust is treated as shortened Single Leg Hip Thrust wording in this paired source
gvc_ac87f7604f73,Alternating Hamstring Curl Jack,gvc_901093596671,Alternating Hamstring Curl Kick,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_8d2f15a5d56f,Seated Piriformis Stretch On A Chair,gvc_62c604c673c5,Sitting Forearms Stretch On A Chair,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_a98bd0ff2493,Bodyweight Rear Lunge Twist,gvc_74872c457dbd,Bodyweight Reverse Lunge,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_3de86c301417,Dumbbell Drag Bicep Curl,canon_gvr_73045d068242,dumbbell biceps curl,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_4f42632f0220,Push Up (wall) Ii,gvc_b97a4382f5ab,Push Up (wall),MERGE_IDENTITY,Roman numeral II is treated as vendor version residue; wall push-up semantics are otherwise identical
gvc_2dbaebf09646,Lever Seated Single Leg Press (version 2),gvc_87925ab99df4,Lever Seated Single Calf Press,KEEP_SEPARATE,Keep separate: source categories and movement wording indicate different exercise semantics.
gvc_78142a5d437e,Seated Knee Thrust On A Chair,gvc_5320a18ea50f,Sitting Knee Drives On A Chair,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_e9cd3e8b95a1,Cable Seated One Arm Alternate Row,gvc_bff6f43d5abc,Cable Seated Single Arm Row,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_10ba39b692f7,Cable Single Arm Crossover,gvc_723b9ae1d071,Cable Bent Over Single Arm Crossover,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_b371f87054df,Seated Shoulder Tap On A Chair,gvc_78a7223ada2e,Sitting Shoulder Stretch On A Chair,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_d9f43e592876,Duck Side Punch,gvc_6e67d6bba51d,Duck And Side Punch,MERGE_IDENTITY,The added conjunction 'and' does not change Duck Side Punch movement semantics
gvc_87cc4cd84be1,Seated Arm Crossover On A Chair,gvc_1ed4bc9f42a7,Sitting Underhand Crossover On A Chair,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_948c5f62b522,Kneeling Back Rotation,gvc_ad4dcf5b11b0,Kneeling Upper Back Rotation,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
gvc_d3b719f0999c,Band Alternating Biceps Curl,gvc_a5eafee7bc4a,Band Standing Alternate Biceps Curl,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_0a70901e0de3,Lever Seated Leg Curl (plate Loaded),gvc_a2b146e3ea9e,Lever Kneeling Leg Curl (plate Loaded),KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_f90e9d15c89f,Single Leg Bridge Pose,gvc_d5d19cb94014,Single Leg Bridge,KEEP_SEPARATE,Keep separate: source categories and movement wording indicate different exercise semantics.
gvc_f2db42e4f5eb,Cable Glute Dominant Step Up,gvc_0dcf5e2b843c,Cable Ipsilateral Glute Dominant Step Up,KEEP_SEPARATE,"Keep separate: modifier can change posture, grip, range, load position, laterality, or execution history."
gvc_6a3372835303,Sitting Side Bend Stretch,gvc_04397fae298d,Seated Side Bend Shoulder Stretch Stretch,KEEP_SEPARATE,Keep separate conservatively: filename evidence does not prove identity equivalence.
