working_id,source_candidate_ids,source_name_variants,name_en_normalized,name_ko_draft,name_ko_status,vendor_body_tags,catalog_status,catalog_reason,equipment,equipment_confidence,body_part_ko,body_confidence,primary_muscles_ko,secondary_muscles_ko,muscle_confidence,recording_type,recording_confidence,source_recording_candidates,semantic_flags,source_media_count,male_source_count,female_source_count,qa_status
gvs_183d0e3d3ade1de1,gvc_e77fa5930c5d,45 Degrees Back Extension Scapular Adduction (,45 Degree Back Extension Scapular Adduction,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,등,name,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_aedec7bdfeac5e99,gvc_8f869590f5e4,5 Sec Fist Against Chin,5 Sec Fist Against Chin,,NOT_NEEDED,Neck,REVIEW,Neck category needs explicit relevance review,,unknown,기타,source,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_7c155b10d4be4da2,gvc_5cc3ce4dea8b,Air Bike On A Chair,Air Bike On A Chair,,NOT_NEEDED,Waist,REVIEW_HOME_CONTEXT,Home/context prop needs relevance review,Bodyweight,inferred_bodyweight,코어,source,,,unsupported,reps,bodyweight,,,1,0,1,MANUAL_QA_REQUIRED
gvs_78140d1369ca994b,gvc_5f3ab8238aac,Air Pillow Balance Counterbalanced Skater Squat (m,Air Pillow Balance Counterbalanced Skater Squat,,NOT_NEEDED,,REVIEW_HOME_CONTEXT,Home/context prop needs relevance review,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_a4125ec2c1fcba24,gvc_f552a45b5036,Air Pillow Crunch,Air Pillow Crunch,,NOT_NEEDED,Waist,REVIEW_HOME_CONTEXT,Home/context prop needs relevance review,Bodyweight,inferred_bodyweight,코어,source,복직근,,name_high,reps,bodyweight,reps,,1,1,0,MANUAL_QA_REQUIRED
gvs_b8909559e79451f9,gvc_06e1aac8171c;gvc_d0c600edf739,Alternate Ankle Tap Under Sit Agains Wall | Alternate Ankle Tap Under Sit Agains Wall H,Alternate Ankle Tap Under Sit Against Wall,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_981ad5ccea72bc94,gvc_9a3e937bdf95;gvc_c03c769f66de,Alternate Knee Cross Over Sit Agains Wall | Alternate Knee Cross Over Sit Agains Wall H,Alternate Knee Cross Over Sit Against Wall,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_aa140adda77a1921,gvc_63931e9afef1,Alternate Leg Raise From Reverse Plank Position (f,Alternate Leg Raise From Reverse Plank Position,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,복직근,,name_high,,review,duration,BODY_MUSCLE_FAMILY_CONFLICT,1,0,1,MANUAL_QA_REQUIRED
gvs_9e9364ee7b68bc6a,gvc_8c8da535b8fb;gvc_c9058aeea7a9,Alternate Obliques Pulse Twist Side Reach | Alternate Obliques Pulse Twist Side Reach W,Alternate Obliques Pulse Twist Side Reach,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_1b91e1df4fe9d05f,gvc_c4da60a7a169,Alternate Straight Leg Raise (on Bosu Ball) (femal,Alternate Straight Leg Raise (On Bosu Ball),,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,복직근,,name_high,,review,reps,BODY_MUSCLE_FAMILY_CONFLICT,1,0,1,MANUAL_QA_REQUIRED
gvs_52a8ad87f2a58097,gvc_6f0c5c2e3caf,Alternating Shoulder Flexion Back To Wall (y Raise,Alternating Shoulder Flexion Back To Wall (Y Raise,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,어깨,name,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_ba3486170f7a1317,gvc_d2738ac264cf,Ankle Dorsal Flexion,Ankle Dorsal Flexion,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_1e7ac8276cc91f1f,gvc_cf9ff7451954,Ankle Plantar Flexion,Ankle Plantar Flexion,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_c0dbf4dc44a905ea,gvc_2d11cc2faab8,Basic Toe Touch,Basic Toe Touch,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_d84ed1959515f0f9,gvc_a9f259385d36,Battling Ropes,Battling Ropes,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_fd4c856e19c4cc70,gvc_fc92b382a556,Battling Ropes Alternating Waves With Kneeling Get,Battling Ropes Alternating Waves With Kneeling Get,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_838b0ee04fedc29a,gvc_608f83f206cf,Bent Arm Lift Shoulders,Bent Arm Lift Shoulders,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_e223439e9ad06710,gvc_aaf0b303470e,Bent Knee Abduction Crunch With Arms Through (fema,Bent Knee Abduction Crunch With Arms Through,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,복직근,,name_high,,review,reps,BODY_MUSCLE_FAMILY_CONFLICT,1,0,1,MANUAL_QA_REQUIRED
gvs_9fcebbf9a6611cfd,gvc_5aecc1769b45,Bent Over Back Extension Scapular Adduction,Bent Over Back Extension Scapular Adduction,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,등,name,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_205ff22f28c4e0e7,gvc_7943775da6f6,Bodyweight Full Squat With Overhead Press (version,Bodyweight Full Squat With Overhead Press,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,어깨,name,대퇴사두근,둔근,name_high,,review,,BODY_MUSCLE_FAMILY_CONFLICT,2,1,1,MANUAL_QA_REQUIRED
gvs_a9067f2cb8c97aee,gvc_547c4f752cc9,Bodyweight Half Sissy Squat Wall Supported,Bodyweight Half Sissy Squat Wall Supported,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_ef65061f8774da67,gvc_183acc2227cf,Bodyweight Hands Behind Head Romanian Deadlift (fe,Bodyweight Hands Behind Head Romanian Deadlift,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,둔근 / 햄스트링,코어,name_high,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_2a26b33d8ef2ed35,gvc_f800ab881df3,Bodyweight Heel Elevated Bulgarian Split Squat (ma,Bodyweight Heel Elevated Bulgarian Split Squat,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_9bfd306adcd6aba0,gvc_9c3969cc1200,Bodyweight Lateral Step Up Thighs,Bodyweight Lateral Step Up Thighs,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_d513c72395b56e8b,gvc_9802feda5609,Bodyweight Lying Shoulder External Rotation (femal,Bodyweight Lying Shoulder External Rotation,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,어깨,name,,,unsupported,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_f8665a2f2e96e507,gvc_07f049a01c0d,Bodyweight Reverse Lunge With Overhead Reach (,Bodyweight Reverse Lunge With Overhead Reach,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,reps,,1,1,0,MANUAL_QA_REQUIRED
gvs_d3a7295cf93f7e86,gvc_6f94416446e3,Bodyweight Romanian Deadlift Biceps Curl Kickback,Bodyweight Romanian Deadlift Biceps Curl Kickback,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,팔,name,둔근 / 햄스트링,코어,name_high,,review,,BODY_MUSCLE_FAMILY_CONFLICT,1,0,1,MANUAL_QA_REQUIRED
gvs_8a7dc3c5481ac481,gvc_2561feb58bad,Bodyweight Side Lying Inner Thigh Up And Down (mal,Bodyweight Side Lying Inner Thigh Up And Down,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_a4a0df4d8901fdc1,gvc_5cc9ec7c93fe,Bodyweight Standing Calf Raise On A Stepbox (femal,Bodyweight Standing Calf Raise On A Stepbox,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,종아리,,name_high,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_016ee025a3376515,gvc_3e8c3eb9038f,Bodyweight Standing Elbow Touches (hands On Neck),Bodyweight Standing Elbow Touches (Hands On Neck),,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_8f97e7fb59a2ed43,gvc_e80cc8d6d23c,Bodyweight Standing Front Raise To Open S,Bodyweight Standing Front Raise To Open S,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,어깨,name,전면 삼각근,,name_high,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_05fe16176be5cd37,gvc_59362db600fa;gvc_e97f4aa78df4,Bodyweight Standing Scapular External Rotation (fe | Bodyweight Standing Scapular External Rotation (mal,Bodyweight Standing Scapular External Rotation,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_54830fd4827f204e,gvc_37011a8873ef,Bodyweight Standing Straight Arm Chest Fly (,Bodyweight Standing Straight Arm Chest Fly,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,가슴,name,대흉근,삼두근 / 전면 삼각근,name_high,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_9a77ab25d7cc5f21,gvc_bf7e45b6510a;gvc_bf7e4eb6510a,Bodyweight Standing Straight Arm Chest High Fly (f | Bodyweight Standing Straight Arm Chest High Fly (m,Bodyweight Standing Straight Arm Chest High Fly,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,가슴,name,,,unsupported,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_6cf23570c611c254,gvc_7baf2fb4cf31;gvc_7bd513b4cf52,Bodyweight Standing Straight Arm Chest Low Fly (fe | Bodyweight Standing Straight Arm Chest Low Fly (ma,Bodyweight Standing Straight Arm Chest Low Fly,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,가슴,name,,,unsupported,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_26b7a4f8f2775ba2,gvc_34632fa7b1da,Bodyweight Standing Triple Pec Dec Pulse,Bodyweight Standing Triple Pec Dec Pulse,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_392e0cbf089ae03f,gvc_5d0243c21b6a,Bodyweight Step Up Knee Raise On Stepbox,Bodyweight Step Up Knee Raise On Stepbox,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,reps,,1,0,1,MANUAL_QA_REQUIRED
gvs_f45c5cccf43210e2,gvc_1ca90f20516d,Bodyweight Tibialias Raise Wall Supported C,Bodyweight Tibialias Raise Wall Supported C,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_6fdd62860e95c0d4,gvc_c67d6a39473c,Bodyweight Triceps Extension From Plank Position (,Bodyweight Triceps Extension From Plank Position,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,팔,name,삼두근,,name_high,,review,duration,,1,1,0,MANUAL_QA_REQUIRED
gvs_4e2dff2802e38e46,gvc_69452e8d0a68,Bodyweight Wrist Radial Deviation With Elbow Suppo,Bodyweight Wrist Radial Deviation With Elbow Suppo,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,팔,name,,,unsupported,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_612d0c4274997cec,gvc_4c52410e0110,Bodyweight Wrist Ulnar Deviation With Elbow Suppor,Bodyweight Wrist Ulnar Deviation With Elbow Suppor,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,팔,name,,,unsupported,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_553aa3f4c6272e3e,gvc_e6514b51ac8e,Bosu Ball Balance Counterbalanced Skater Squat (ma,Bosu Ball Balance Counterbalanced Skater Squat,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_501bd49b1dd0c4eb,gvc_eab9a046517d,Boxing Jab,Boxing Jab,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_4fd1e0bc64d6ea02,gvc_7f9007af52c8,Boxing Left Hook,Boxing Left Hook,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_d6723fc52a6e84cd,gvc_f350bf27d67e,Boxing Left Uppercut,Boxing Left Uppercut,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_5d37568ee0cdb918,gvc_a63577605afe,Boxing Right Cross,Boxing Right Cross,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_a4d4faa402afdd82,gvc_c5e1d3d7ba5d,Boxing Right Hook,Boxing Right Hook,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_81bdd17502741fe5,gvc_c8e85c76163d,Boxing Right Uppercut,Boxing Right Uppercut,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_2fa6d6ab6a58a373,gvc_5690b0d9513e,By Major Groups Muscle Body United,By Major Groups Muscle Body United,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_c576726b4677dc13,gvc_6c40aca3ea2f,By Major Groups Muscle Body United Black,By Major Groups Muscle Body United Black,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_06400ec415178b7e,gvc_cf16f614c6f2,Cable Seated Neck Extension (with Head Harness),Cable Seated Neck Extension (With Head Harness),,NOT_NEEDED,Neck,REVIEW,Neck category needs explicit relevance review,Cable,source,기타,source,,,unsupported,weight_reps,equipment,weight_reps,,1,1,0,MANUAL_QA_REQUIRED
gvs_e0f4248c38a45e92,gvc_6f9bff80a611,Cable Seated Neck Flexion (with Head Harness),Cable Seated Neck Flexion (With Head Harness),,NOT_NEEDED,Neck,REVIEW,Neck category needs explicit relevance review,Cable,source,기타,source,,,unsupported,weight_reps,equipment,weight_reps,,1,1,0,MANUAL_QA_REQUIRED
gvs_e2ed33aa935b7884,gvc_60ea5484ebf4,Calf Raise Internal External Arms Rotation (,Calf Raise Internal External Arms Rotation,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,종아리,,name_high,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_c9debca6724bd8a4,gvc_4dc918f05d3c,Chair Sit Alternate Heel Raise Agains Wall (,Chair Sit Alternate Heel Raise Against Wall,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_f728ed237fd636c3,gvc_cfda26a25bab,Chest Bench Press Butt (wrong Right),Chest Bench Press Butt (Wrong Right),,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,가슴,name,대흉근,삼두근 / 전면 삼각근,name_high,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_b0c3c6a499edb116,gvc_445c57caeda2,Chest Bench Press Forearms (wrong Right),Chest Bench Press Forearms (Wrong Right),,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,가슴,name,대흉근,삼두근 / 전면 삼각근,name_high,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_215dc25e36c41f78,gvc_29e776a465ff,Chest Bench Press Grip Width (wrong Right),Chest Bench Press Grip Width (Wrong Right),,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,가슴,name,대흉근,삼두근 / 전면 삼각근,name_high,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_64276a463a47f2c0,gvc_3c770220605a,Chest Tap Push Up,Chest Tap Push Up,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,가슴,name,,,unsupported,,review,reps,,1,1,0,MANUAL_QA_REQUIRED
gvs_cfa4a3827dc9a5b0,gvc_60a268a0adc4,Chin Tuck,Chin Tuck,,NOT_NEEDED,Neck,REVIEW,Neck category needs explicit relevance review,,unknown,기타,source,,,unsupported,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_18fa91e1bbc48b39,gvc_edb838dadb4b,Chin Tuck Against The Wall,Chin Tuck Against The Wall,,NOT_NEEDED,Neck,REVIEW,Neck category needs explicit relevance review,,unknown,기타,source,,,unsupported,,review,,,2,1,1,MANUAL_QA_REQUIRED
gvs_98b4a94045ce851e,gvc_8dfcb96bd804,Climber A Padded Stool Supported,Climber A Padded Stool Supported,,NOT_NEEDED,Waist,REVIEW_HOME_CONTEXT,Home/context prop needs relevance review,Bodyweight,inferred_bodyweight,코어,source,,,unsupported,reps,bodyweight,,,2,1,1,MANUAL_QA_REQUIRED
gvs_1b67bbe929cb116d,gvc_9658e955e0b6,Concentration Curl Arms (wrong Right),Concentration Curl Arms (Wrong Right),,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,팔,name,이두근,,name_high,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_2ef32123c32f4a93,gvc_6fa01fa79a8c,Crunch Back (wrong Right),Crunch Back (Wrong Right),,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,코어,name,복직근,,name_high,,review,reps,,1,0,1,MANUAL_QA_REQUIRED
gvs_8cf2a329e06fbecd,gvc_0b2798ec0113,Deadlift Back (wrong Right),Deadlift Back (Wrong Right),,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,둔근 / 햄스트링,등 / 코어,name_high,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_6bf7154dce76c2ed,gvc_80699124ff15,Dip Leg Raise A Padded Stool Supported,Dip Leg Raise A Padded Stool Supported,,NOT_NEEDED,Upper-Arms;Waist,REVIEW_HOME_CONTEXT,Home/context prop needs relevance review,Bodyweight,inferred_bodyweight,,conflict,복직근,,name_high,reps,bodyweight,reps,BODY_SOURCE_CONFLICT,2,1,1,MANUAL_QA_REQUIRED
gvs_af09f1a479ab6d22,gvc_dbe4844555f6,Dips Between Chairs Chest,Dips Between Chairs Chest,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,가슴,name,,,unsupported,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_d46b32d95d9ec17d,gvc_081eb520614e,Double Elbow Raise And Double Elbow Clap,Double Elbow Raise And Double Elbow Clap,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,,unknown,,,unsupported,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_9cdb6d18023b1592,gvc_4778b14f039a,Drop Push Up,Drop Push Up,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,가슴,name,,,unsupported,,review,reps,,1,1,0,MANUAL_QA_REQUIRED
gvs_bbeb9b5ea4a9d9a0,gvc_1ec50334104c,Dumbell Bulgarian Split Squat From Deficit,Dumbell Bulgarian Split Squat From Deficit,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,,,1,1,0,MANUAL_QA_REQUIRED
gvs_4943b1eb8ac1b2e3,gvc_9356c8f036bd,Dumbell Contralateral Glute Dominant Bulgarian Spl,Dumbell Contralateral Glute Dominant Bulgarian Spl,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,,,unsupported,,review,,,1,0,1,MANUAL_QA_REQUIRED
gvs_24a5c62c400799ce,gvc_57871c4055a4,Dumbell Glute Dominant Bulgarian Split Squat (fema,Dumbell Glute Dominant Bulgarian Split Squat,,NOT_NEEDED,,REVIEW,Insufficient semantic metadata,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,,,1,0,1,MANUAL_QA_REQUIRED
