working_id,equipment,name_en_normalized,name_ko_candidate,body_part_ko,recording_type,qa_status
gvs_ba3ae85441edd9b6,Barbell,Barbell Bench Lateral Step Up,바벨 벤치 래터럴 스텝업,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_f560305dadcbd81d,Barbell,Barbell Bent Arm Pullover,바벨 벤트 암 풀오버,등,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_2997973f07fac93f,Barbell,Barbell Clean Grip Front Squat,바벨 클린 그립 프론트 스쿼트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_13f6672e8461d524,Barbell,Barbell Cossack Squat,바벨 코사크 스쿼트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_dfa0f17d3c64ac21,Barbell,Barbell Curtsey Lunge,바벨 커시 런지,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_863a17a26e3036e8,Barbell,Barbell Dimel Deadlift,바벨 디멜 데드리프트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_9fb128f35bfa35b3,Barbell,Barbell Front Rack Lunge,바벨 프론트 랙 런지,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_e1b3d351aea54045,Barbell,Barbell Front Rack Split Squat,바벨 프론트 랙 스플릿 스쿼트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_cef9a38f193d09a7,Barbell,Barbell Incline Rear Delt Row,바벨 인클라인 리어 델트 로우,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_a5f77daed3c77934,Barbell,Barbell Lateral Lunge,바벨 래터럴 런지,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_c60d6e42563c0810,Barbell,Barbell Paused Bent Over Row,바벨 포즈 벤트오버 로우,등,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_12ae356840e94f62,Barbell,Barbell Paused Sumo Deadlift,바벨 포즈 스모 데드리프트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_78c97a80c6eb5b52,Barbell,Barbell Pendlay Row,바벨 펜들레이 로우,등,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_845cebd964fa4bf5,Barbell,Barbell Pin Chest Press,바벨 핀 체스트 프레스,가슴,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_9a0795a7e7c08e67,Barbell,Barbell Pin Front Squat,바벨 핀 프론트 스쿼트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_674b9f90a42cd7c6,Barbell,Barbell Pin Good Morning,바벨 핀 굿모닝,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_b91e535d9d3a5995,Barbell,Barbell Power Jerk,바벨 파워 저크,,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_185abc2393649ecb,Barbell,Barbell Quarter Squat,바벨 쿼터 스쿼트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_58a2156cda777a96,Barbell,Barbell Rack Pull,바벨 랙 풀,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_518aaa9ef2fec4c8,Barbell,Barbell Reeves Deadlift,바벨 리브스 데드리프트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_efe5653fc106d4b7,Barbell,Barbell Rollout,바벨 롤아웃,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_69d9c720bef22ce6,Barbell,Barbell Snatch Grip Deadlift,바벨 스내치 그립 데드리프트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_43f9f713c87baadb,Barbell,Barbell Standing Leg Calf Raise,바벨 스탠딩 레그 카프 레이즈,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_48254dcd665dc5f1,Barbell,Barbell Stiff Legged Deadlift,바벨 스티프 레그 데드리프트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_3c331830a186375e,Barbell,Barbell Thruster,바벨 스러스터,,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_b7f4c660330b6696,Barbell,Barbell Underhand Bent Over Row,바벨 언더핸드 벤트오버 로우,등,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_5c93a5108fd08d22,Barbell,Barbell Zercher Bulgarian Split Squat,바벨 저처 불가리안 스플릿 스쿼트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_888093c5289b3ef9,Cable,Cable Donkey Kickback,케이블 동키 킥백,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_2c4aa4f62ee481e0,Cable,Cable Forearm Pronation,케이블 포어암 프로네이션,팔,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_c109ac7a54bc3ec0,Cable,Cable Half Kneeling Pallof Press,케이블 하프 닐링 팔로프 프레스,코어,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_420de1e67d47e9e8,Cable,Cable Lying Bicep Curl,케이블 라잉 바이셉 컬,팔,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_56eff23b663f236b,Cable,Cable Rope Incline Tricep Extension,케이블 로프 인클라인 트라이셉 익스텐션,팔,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_58aea4f56fb45f35,Cable,Cable Single Arm Tricep Pushdown,케이블 원암 트라이셉 푸시다운,팔,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_9ab8c22154f550c5,Cable,Cable Underhand Pulldown,케이블 언더핸드 풀다운,등,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_1651862020bbc566,Dumbbell,Dumbbell Curtsey Lunge,덤벨 커시 런지,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_08ccaea47c5d4642,Dumbbell,Dumbbell Front Plank Arm Leg Raise,덤벨 프론트 플랭크 암 레그 레이즈,코어,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_30a2bd6baefd504b,Dumbbell,Dumbbell Front Plank Arm Raise,덤벨 프론트 플랭크 암 레이즈,코어,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_ad30bb400a46408a,Dumbbell,Dumbbell Front Rack Lunge,덤벨 프론트 랙 런지,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_f90fe2c0084b9526,Dumbbell,Dumbbell Incline Alternate Bicep Curl,덤벨 인클라인 얼터네이트 바이셉 컬,팔,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_61a93102da9274f4,Dumbbell,Dumbbell Incline Two Arm Extension,덤벨 인클라인 투암 익스텐션,팔,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_ae45d5c1353969d5,Dumbbell,Dumbbell Jefferson Curl,덤벨 제퍼슨 컬,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_9806e47cf47980de,Dumbbell,Dumbbell Lateral Step Up,덤벨 래터럴 스텝업,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_3d14f046108261e0,Dumbbell,Dumbbell Lying Rear Delt Row,덤벨 라잉 리어 델트 로우,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_9a9a349ee2193330,Dumbbell,Dumbbell Rollout,덤벨 롤아웃,코어,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_df484bd635de906c,Dumbbell,Dumbbell Seated Bent Arm Lateral Raise,덤벨 시티드 벤트 암 레터럴 레이즈,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_1efd7dc4e298cd96,Dumbbell,Dumbbell Seated Double Concentration Curl,덤벨 시티드 더블 컨센트레이션 컬,팔,weight_reps,PROMOTE_HIGH_CONFIDENCE
